1	H	22	H
2	He	13112221133211322112211213322112	Hf.Pa.H.Ca.Li
3	Li	312211322212221121123222112	He
4	Be	111312211312113221133211322112211213322112	Ge.Ca.Li
5	B	1321132122211322212221121123222112	Be
6	C	3113112211322112211213322112	B
7	N	111312212221121123222112	C
8	O	132112211213322112	N
9	F	31121123222112	O
10	Ne	111213322112	F
11	Na	123222112	Ne
12	Mg	3113322112	Pm.Na
13	Al	1113222112	Mg
14	Si	1322112	Al
15	P	311311222112	Ho.Si
16	S	1113122112	P
17	Cl	132112	S
18	Ar	3112	Cl
19	K	1112	Ar
20	Ca	12	K
21	Sc	3113112221133112	Ho.Pa.H.Ca.Co
22	Ti	11131221131112	Sc
23	V	13211312	Ti
24	Cr	31132	V
25	Mn	111311222112	Cr.Si
26	Fe	13122112	Mn
27	Co	32112	Fe
28	Ni	11133112	Zn.Co
29	Cu	131112	Ni
30	Zn	312	Cu
31	Ga	13221133122211332	Eu.Ca.Ac.H.Ca.Zn
32	Ge	31131122211311122113222	Ho.Ga
33	As	11131221131211322113322112	Ge.Na
34	Se	13211321222113222112	As
35	Br	3113112211322112	Se
36	Kr	11131221222112	Br
37	Rb	1321122112	Kr
38	Sr	3112112	Rb
39	Y	1112133	Sr.U
40	Zr	12322211331222113112211	Y.H.Ca.Tc
41	Nb	1113122113322113111221131221	Er.Zr
42	Mo	13211322211312113211	Nb
43	Tc	311322113212221	Mo
44	Ru	132211331222113112211	Eu.Ca.Tc
45	Rh	311311222113111221131221	Ho.Ru
46	Pd	111312211312113211	Rh
47	Ag	132113212221	Pd
48	Cd	3113112211	Ag
49	In	11131221	Cd
50	Sn	13211	In
51	Sb	3112221	Pm.Sn
52	Te	1322113312211	Eu.Ca.Sb
53	I	311311222113111221	Ho.Te
54	Xe	11131221131211	I
55	Cs	13211321	Xe
56	Ba	311311	Cs
57	La	11131	Ba
58	Ce	1321133112	La.H.Ca.Co
59	Pr	31131112	Ce
60	Nd	111312	Pr
61	Pm	132	Nd
62	Sm	311332	Pm.Ca.Zn
63	Eu	1113222	Sm
64	Gd	13221133112	Eu.Ca.Co
65	Tb	3113112221131112	Ho.Gd
66	Dy	111312211312	Tb
67	Ho	1321132	Dy
68	Er	311311222	Ho.Pm
69	Tm	11131221133112	Er.Ca.Co
70	Yb	1321131112	Tm
71	Lu	311312	Yb
72	Hf	11132	Lu
73	Ta	13112221133211322112211213322113	Hf.Pa.H.Ca.W
74	W	312211322212221121123222113	Ta
75	Re	111312211312113221133211322112211213322113	Ge.Ca.W
76	Os	1321132122211322212221121123222113	Re
77	Ir	3113112211322112211213322113	Os
78	Pt	111312212221121123222113	Ir
79	Au	132112211213322113	Pt
80	Hg	31121123222113	Au
81	Tl	111213322113	Hg
82	Pb	123222113	Tl
83	Bi	3113322113	Pm.Pb
84	Po	1113222113	Bi
85	At	1322113	Po
86	Rn	311311222113	Ho.At
87	Fr	1113122113	Rn
88	Ra	132113	Fr
89	Ac	3113	Ra
90	Th	1113	Ac
91	Pa	13	Th
92	U	3	Pa
